short_word,tld,domain,status
psh,io,psh.io,Available
psh,me,psh.me,Available
psh,ai,psh.ai,Taken
psh,us,psh.us,Available
psh,co,psh.co,Available
psh,to,psh.to,Available
mlk,io,mlk.io,Available
mlk,me,mlk.me,Available
mlk,ai,mlk.ai,Taken
mlk,us,mlk.us,Available
mlk,co,mlk.co,Available
mlk,to,mlk.to,Available
rlf,io,rlf.io,Available
rlf,me,rlf.me,Available
rlf,ai,rlf.ai,Taken
rlf,us,rlf.us,Available
rlf,co,rlf.co,Available
rlf,to,rlf.to,Available
flb,io,flb.io,Available
flb,me,flb.me,Available
flb,ai,flb.ai,Taken
flb,us,flb.us,Available
flb,co,flb.co,Available
flb,to,flb.to,Available
yrr,io,yrr.io,Available
yrr,me,yrr.me,Available
yrr,ai,yrr.ai,Taken
yrr,us,yrr.us,Available
yrr,co,yrr.co,Available
yrr,to,yrr.to,Available
pck,io,pck.io,Available
pck,me,pck.me,Available
pck,ai,pck.ai,Taken
pck,us,pck.us,Available
pck,co,pck.co,Available
pck,to,pck.to,Available
clp,io,clp.io,Available
clp,me,clp.me,Available
clp,ai,clp.ai,Taken
clp,us,clp.us,Available
clp,co,clp.co,Available
clp,to,clp.to,Available
trp,io,trp.io,Available
trp,me,trp.me,Available
trp,ai,trp.ai,Taken
trp,us,trp.us,Available
trp,co,trp.co,Available
trp,to,trp.to,Available
frl,io,frl.io,Available
frl,me,frl.me,Available
frl,ai,frl.ai,Taken
frl,us,frl.us,Available
frl,co,frl.co,Available
frl,to,frl.to,Available
bck,io,bck.io,Available
bck,me,bck.me,Available
bck,ai,bck.ai,Taken
bck,us,bck.us,Available
bck,co,bck.co,Available
bck,to,bck.to,Available
psy,io,psy.io,Available
psy,me,psy.me,Available
psy,ai,psy.ai,Taken
psy,us,psy.us,Available
psy,co,psy.co,Available
psy,to,psy.to,Available
srf,io,srf.io,Available
srf,me,srf.me,Available
srf,ai,srf.ai,Taken
srf,us,srf.us,Available
srf,co,srf.co,Available
srf,to,srf.to,Available
brt,io,brt.io,Available
brt,me,brt.me,Available
brt,ai,brt.ai,Taken
brt,us,brt.us,Available
brt,co,brt.co,Available
brt,to,brt.to,Available
knd,io,knd.io,Available
knd,me,knd.me,Available
knd,ai,knd.ai,Taken
knd,us,knd.us,Available
knd,co,knd.co,Available
knd,to,knd.to,Available
pff,io,pff.io,Available
pff,me,pff.me,Available
pff,ai,pff.ai,Taken
pff,us,pff.us,Available
pff,co,pff.co,Available
pff,to,pff.to,Available
dsh,io,dsh.io,Available
dsh,me,dsh.me,Available
dsh,ai,dsh.ai,Taken
dsh,us,dsh.us,Available
dsh,co,dsh.co,Available
dsh,to,dsh.to,Available
tff,io,tff.io,Available
tff,me,tff.me,Available
tff,ai,tff.ai,Taken
tff,us,tff.us,Available
tff,co,tff.co,Available
tff,to,tff.to,Available
lky,io,lky.io,Available
lky,me,lky.me,Available
lky,ai,lky.ai,Taken
lky,us,lky.us,Available
lky,co,lky.co,Available
lky,to,lky.to,Available
gwn,io,gwn.io,Available
gwn,me,gwn.me,Available
gwn,ai,gwn.ai,Taken
gwn,us,gwn.us,Available
gwn,co,gwn.co,Available
gwn,to,gwn.to,Available
hll,io,hll.io,Available
hll,me,hll.me,Available
