original_word,three_char_word
pash,psh
mulk,mlk
ralf,rlf
flob,flb
yirr,yrr
pack,pck
clop,clp
terp,trp
furl,frl
beck,bck
opsy,psy
surf,srf
brat,brt
kind,knd
puff,pff
dish,dsh
teff,tff
alky,lky
gown,gwn
hull,hll
bind,bnd
sawt,swt
knab,knb
nudd,ndd
zest,zst
gamb,gmb
seth,sth
noll,nll
gawm,gwm
troy,try
spit,spt
muth,mth
blow,blw
ghuz,ghz
dhaw,dhw
dyne,dyn
kick,kck
pist,pst
pont,pnt
glow,glw
miff,mff
gnaw,gnw
yawn,ywn
grot,grt
pavy,pvy
sken,skn
lots,lts
knet,knt
crax,crx
dyas,dys
hest,hst
trag,trg
himp,hmp
wart,wrt
snup,snp
stre,str
harp,hrp
amyl,myl
hazy,hzy
tort,trt
rolf,rlf
bukh,bkh
baff,bff
royt,ryt
kohl,khl
piky,pky
whyo,why
talk,tlk
part,prt
biff,bff
rush,rsh
fady,fdy
skun,skn
clad,cld
laky,lky
germ,grm
yowl,ywl
bhil,bhl
spex,spx
hyne,hyn
shan,shn
tawn,twn
koph,kph
tuck,tck
told,tld
wren,wrn
hyla,hyl
turm,trm
pilm,plm
celt,clt
pyke,pyk
yarm,yrm
ably,bly
vang,vng
jeff,jff
fumy,fmy
itys,tys
herb,hrb
knag,kng
gawk,gwk
pish,psh
days,dys
seps,sps
blan,bln
cuss,css
myxa,myx
tess,tss
coll,cll
coff,cff
pant,pnt
howk,hwk
rusk,rsk
kirk,krk
sard,srd
whip,whp
fels,fls
buzz,bzz
ryal,ryl
curt,crt
knut,knt
virl,vrl
munt,mnt
muzz,mzz
jell,jll
wird,wrd
city,cty
salp,slp
hurf,hrf
ring,rng
then,thn
puny,pny
scow,scw
wapp,wpp
clem,clm
purl,prl
chet,cht
dyad,dyd
yday,ydy
vuln,vln
skaw,skw
sump,smp
hurt,hrt
syce,syc
dolt,dlt
swam,swm
bevy,bvy
merk,mrk
celt,clt
kans,kns
brad,brd
croc,crc
hiss,hss
mity,mty
snow,snw
yill,yll
slon,sln
west,wst
lark,lrk
chol,chl
puxy,pxy
vast,vst
shun,shn
tung,tng
chic,chc
chud,chd
mult,mlt
hent,hnt
shap,shp
odds,dds
whit,wht
kasm,ksm
snew,snw
phot,pht
molt,mlt
twig,twg
jamb,jmb
pock,pck
ankh,nkh
volt,vlt
jhow,jhw
turn,trn
slum,slm
swep,swp
ploy,ply
dint,dnt
duty,dty
clat,clt
wiry,wry
fill,fll
josh,jsh
ropy,rpy
burr,brr
blup,blp
fons,fns
only,nly
dirt,drt
shin,shn
mown,mwn
ward,wrd
spot,spt
porr,prr
mild,mld
kran,krn
mott,mtt
dogs,dgs
yamp,ymp
glop,glp
rach,rch
prow,prw
rakh,rkh
ugly,gly
bizz,bzz
kmet,kmt
tory,try
mudd,mdd
wind,wnd
defy,dfy
mung,mng
twat,twt
harn,hrn
cyan,cyn
grub,grb
lich,lch
litz,ltz
bawn,bwn
impy,mpy
taps,tps
troy,try
colp,clp
slag,slg
risp,rsp
borh,brh
wary,wry
trog,trg
moly,mly
towy,twy
nabk,nbk
posh,psh
hart,hrt
shih,shh
prep,prp
ling,lng
than,thn
caky,cky
fent,fnt
kill,kll
dags,dgs
womb,wmb
barn,brn
pirr,prr
mary,mry
lawk,lwk
tyre,tyr
kapp,kpp
bark,brk
slut,slt
stab,stb
parr,prr
jank,jnk
blip,blp
bitt,btt
muff,mff
norn,nrn
helm,hlm
fowl,fwl
kral,krl
bosn,bsn
darr,drr
sadr,sdr
lowy,lwy
losh,lsh
kirk,krk
pelf,plf
shor,shr
rikk,rkk
hypo,hyp
jarl,jrl
long,lng
wark,wrk
wafd,wfd
lock,lck
writ,wrt
suzy,szy
lend,lnd
ruth,rth
ness,nss
bump,bmp
tern,trn
lent,lnt
nibs,nbs
lacy,lcy
brob,brb
viny,vny
chal,chl
gift,gft
joss,jss
tush,tsh
dubs,dbs
flog,flg
clem,clm
kids,kds
pact,pct
jann,jnn
koff,kff
bong,bng
wack,wck
pull,pll
taws,tws
dabb,dbb
tarr,trr
gwen,gwn
neth,nth
doxy,dxy
goby,gby
iffy,ffy
mesh,msh
want,wnt
plot,plt
fany,fny
star,str
odds,dds
slot,slt
mird,mrd
bleb,blb
brad,brd
kiby,kby
mull,mll
dowl,dwl
pram,prm
scum,scm
bhoy,bhy
bony,bny
kell,kll
ismy,smy
kilt,klt
klom,klm
wrox,wrx
rhus,rhs
buhl,bhl
harb,hrb
hadj,hdj
zend,znd
plim,plm
toff,tff
koch,kch
mump,mmp
hing,hng
gris,grs
herd,hrd
soft,sft
cark,crk
dill,dll
bort,brt
herl,hrl
gwag,gwg
lusk,lsk
sneb,snb
alms,lms
what,wht
ruby,rby
fuzz,fzz
disc,dsc
